"rid", "binaryID"
444,10000000000000000000000000010000000000000001000000000001
344,10000000000000000000000000010000000000000010000000000000
71,100000000000000000000000000000000100000000000000000000000
673,100000000000000000000000000000000100000000000000000000001
106,100000000000000000000000000000000100000000000010000000000
204,100000000000000000000000000000000100000000000010001000000
540,100000000000000000000000000000000100000000000010001000001
569,100000000000000000000000000000000100000000000010001000010
581,100000000000000000000000000000000100000000000010001000011
873,100000000000000000000000000000000100000000000010001001000
327,100000000000000000000000000100000000000000010000000000000
447,100000000000000000000000000100000000000000010000000000001
345,100000000000000000000000000100000000000000100000000000000
72,1000000000000000000000000000000001000000000000000000000000
675,1000000000000000000000000000000001000000000000000000000010
686,1000000000000000000000000000000001000000000000000000000011
107,1000000000000000000000000000000001000000000000100000000000
205,1000000000000000000000000000000001000000000000100010000000
209,1000000000000000000000000000000001000000000000100010000001
802,1000000000000000000000000000000001000000000000100010000010
586,1000000000000000000000000000000001000000000000100010000110
593,1000000000000000000000000000000001000000000000100010000111
328,1000000000000000000000000001000000000000000100000000000000
425,1000000000000000000000000001000000000000000100000000000001
73,10000000000000000000000000000000010000000000000000000000000
685,10000000000000000000000000000000010000000000000000000000100
689,10000000000000000000000000000000010000000000000000000000101
108,10000000000000000000000000000000010000000000001000000000000
660,10000000000000000000000000000000010000000000001000000000001
206,10000000000000000000000000000000010000000000001000100000000
210,10000000000000000000000000000000010000000000001000100000010
214,10000000000000000000000000000000010000000000001000100000011
541,10000000000000000000000000000000010000000000001000100000100
329,10000000000000000000000000010000000000000001000000000000000
430,10000000000000000000000000010000000000000001000000000000001
74,100000000000000000000000000000000100000000000000000000000000
694,100000000000000000000000000000000100000000000000000000000001
109,100000000000000000000000000000000100000000000010000000000000
629,100000000000000000000000000000000100000000000010000000000001
207,100000000000000000000000000000000100000000000010001000000000
798,100000000000000000000000000000000100000000000010001000000001
211,100000000000000000000000000000000100000000000010001000000100
511,100000000000000000000000000000000100000000000010001000000101
215,100000000000000000000000000000000100000000000010001000000110
493,100000000000000000000000000000000100000000000010001000000111
803,100000000000000000000000000000000100000000000010001000001000
330,100000000000000000000000000100000000000000010000000000000000
445,100000000000000000000000000100000000000000010000000000000001
75,1000000000000000000000000000000001000000000000000000000000000
699,1000000000000000000000000000000001000000000000000000000000001
110,1000000000000000000000000000000001000000000000100000000000000
622,1000000000000000000000000000000001000000000000100000000000001
208,1000000000000000000000000000000001000000000000100010000000000
799,1000000000000000000000000000000001000000000000100010000000001
524,1000000000000000000000000000000001000000000000100010000000010
212,1000000000000000000000000000000001000000000000100010000001000
216,1000000000000000000000000000000001000000000000100010000001100
247,1000000000000000000000000000000001000000000000100010000001101
547,1000000000000000000000000000000001000000000000100010000010000
76,10000000000000000000000000000000010000000000000000000000000000
707,10000000000000000000000000000000010000000000000000000000000001
111,10000000000000000000000000000000010000000000001000000000000000
115,10000000000000000000000000000000010000000000001000000000000001
539,10000000000000000000000000000000010000000000001000100000000000
532,10000000000000000000000000000000010000000000001000100000000010
213,10000000000000000000000000000000010000000000001000100000010000
794,10000000000000000000000000000000010000000000001000100000010001
217,10000000000000000000000000000000010000000000001000100000011000
494,10000000000000000000000000000000010000000000001000100000011001
248,10000000000000000000000000000000010000000000001000100000011010
811,10000000000000000000000000000000010000000000001000100000100000
77,100000000000000000000000000000000100000000000000000000000000000
687,100000000000000000000000000000000100000000000000000000000000001
112,100000000000000000000000000000000100000000000010000000000000000
116,100000000000000000000000000000000100000000000010000000000000010
611,100000000000000000000000000000000100000000000010000000000000011
536,100000000000000000000000000000000100000000000010001000000000100
543,100000000000000000000000000000000100000000000010001000000000101
514,100000000000000000000000000000000100000000000010001000000100000
500,100000000000000000000000000000000100000000000010001000000100010
218,100000000000000000000000000000000100000000000010001000000110000
476,100000000000000000000000000000000100000000000010001000000110001
249,100000000000000000000000000000000100000000000010001000000110100
78,1000000000000000000000000000000001000000000000000000000000000000
688,1000000000000000000000000000000001000000000000000000000000000001
113,1000000000000000000000000000000001000000000000100000000000000000
117,1000000000000000000000000000000001000000000000100000000000000100
644,1000000000000000000000000000000001000000000000100000000000000101
804,1000000000000000000000000000000001000000000000100010000000001000
806,1000000000000000000000000000000001000000000000100010000000001010
517,1000000000000000000000000000000001000000000000100010000001000000
518,1000000000000000000000000000000001000000000000100010000001000001
219,1000000000000000000000000000000001000000000000100010000001100000
234,1000000000000000000000000000000001000000000000100010000001100001
250,1000000000000000000000000000000001000000000000100010000001101000
79,10000000000000000000000000000000010000000000000000000000000000000
690,10000000000000000000000000000000010000000000000000000000000000001
114,10000000000000000000000000000000010000000000001000000000000000000
118,10000000000000000000000000000000010000000000001000000000000001000
601,10000000000000000000000000000000010000000000001000000000000001001
880,10000000000000000000000000000000010000000000001000000000000001010
220,10000000000000000000000000000000010000000000001000100000011000000
224,10000000000000000000000000000000010000000000001000100000011000001
235,10000000000000000000000000000000010000000000001000100000011000010
479,10000000000000000000000000000000010000000000001000100000011000011
251,10000000000000000000000000000000010000000000001000100000011010000
80,100000000000000000000000000000000100000000000000000000000000000000
715,100000000000000000000000000000000100000000000000000000000000000001
119,100000000000000000000000000000000100000000000010000000000000010000
129,100000000000000000000000000000000100000000000010000000000000010001
599,100000000000000000000000000000000100000000000010000000000000010010
600,100000000000000000000000000000000100000000000010000000000000010011
649,100000000000000000000000000000000100000000000010000000000000010100
221,100000000000000000000000000000000100000000000010001000000110000000
225,100000000000000000000000000000000100000000000010001000000110000010
489,100000000000000000000000000000000100000000000010001000000110000011
236,100000000000000000000000000000000100000000000010001000000110000100
477,100000000000000000000000000000000100000000000010001000000110000101
81,1000000000000000000000000000000001000000000000000000000000000000000
711,1000000000000000000000000000000001000000000000000000000000000000001
120,1000000000000000000000000000000001000000000000100000000000000100000
633,1000000000000000000000000000000001000000000000100000000000000100001
130,1000000000000000000000000000000001000000000000100000000000000100010
583,1000000000000000000000000000000001000000000000100000000000000100011
589,1000000000000000000000000000000001000000000000100000000000000100110
590,1000000000000000000000000000000001000000000000100000000000000100111
222,1000000000000000000000000000000001000000000000100010000001100000000
226,1000000000000000000000000000000001000000000000100010000001100000100
791,1000000000000000000000000000000001000000000000100010000001100000110
237,1000000000000000000000000000000001000000000000100010000001100001000
243,1000000000000000000000000000000001000000000000100010000001100001001
779,1000000000000000000000000000000001000000000000100010000001100001010
82,10000000000000000000000000000000010000000000000000000000000000000000
716,10000000000000000000000000000000010000000000000000000000000000000001
121,10000000000000000000000000000000010000000000001000000000000001000000
643,10000000000000000000000000000000010000000000001000000000000001000001
131,10000000000000000000000000000000010000000000001000000000000001000100
575,10000000000000000000000000000000010000000000001000000000000001000101
223,10000000000000000000000000000000010000000000001000100000011000000000
227,10000000000000000000000000000000010000000000001000100000011000001000
490,10000000000000000000000000000000010000000000001000100000011000001100
238,10000000000000000000000000000000010000000000001000100000011000010000
496,10000000000000000000000000000000010000000000001000100000011000010001
244,10000000000000000000000000000000010000000000001000100000011000010010
480,10000000000000000000000000000000010000000000001000100000011000010011
475,10000000000000000000000000000000010000000000001000100000011000010100
83,100000000000000000000000000000000100000000000000000000000000000000000
705,100000000000000000000000000000000100000000000000000000000000000000001
718,100000000000000000000000000000000100000000000000000000000000000000010
721,100000000000000000000000000000000100000000000000000000000000000000011
122,100000000000000000000000000000000100000000000010000000000000010000000
663,100000000000000000000000000000000100000000000010000000000000010000001
132,100000000000000000000000000000000100000000000010000000000000010001000
572,100000000000000000000000000000000100000000000010000000000000010001001
228,100000000000000000000000000000000100000000000010001000000110000010000
495,100000000000000000000000000000000100000000000010001000000110000011000
497,100000000000000000000000000000000100000000000010001000000110000011001
239,100000000000000000000000000000000100000000000010001000000110000100000
498,100000000000000000000000000000000100000000000010001000000110000100001
245,100000000000000000000000000000000100000000000010001000000110000100100
482,100000000000000000000000000000000100000000000010001000000110000100101
84,1000000000000000000000000000000001000000000000000000000000000000000000
723,1000000000000000000000000000000001000000000000000000000000000000000001
700,1000000000000000000000000000000001000000000000000000000000000000000010
703,1000000000000000000000000000000001000000000000000000000000000000000011
123,1000000000000000000000000000000001000000000000100000000000000100000000
650,1000000000000000000000000000000001000000000000100000000000000100000001
133,1000000000000000000000000000000001000000000000100000000000000100010000
612,1000000000000000000000000000000001000000000000100000000000000100010001
559,1000000000000000000000000000000001000000000000100000000000000100010010
560,1000000000000000000000000000000001000000000000100000000000000100010011
229,1000000000000000000000000000000001000000000000100010000001100000100000
792,1000000000000000000000000000000001000000000000100010000001100000110010
240,1000000000000000000000000000000001000000000000100010000001100001000000
492,1000000000000000000000000000000001000000000000100010000001100001000001
246,1000000000000000000000000000000001000000000000100010000001100001001000
785,1000000000000000000000000000000001000000000000100010000001100001001010
85,10000000000000000000000000000000010000000000000000000000000000000000000
724,10000000000000000000000000000000010000000000000000000000000000000000001
852,10000000000000000000000000000000010000000000000000000000000000000000100
855,10000000000000000000000000000000010000000000000000000000000000000000110
124,10000000000000000000000000000000010000000000001000000000000001000000000
674,10000000000000000000000000000000010000000000001000000000000001000000001
134,10000000000000000000000000000000010000000000001000000000000001000100000
182,10000000000000000000000000000000010000000000001000000000000001000100001
881,10000000000000000000000000000000010000000000001000000000000001000100010
230,10000000000000000000000000000000010000000000001000100000011000001000000
241,10000000000000000000000000000000010000000000001000100000011000010000000
505,10000000000000000000000000000000010000000000001000100000011000010000001
790,10000000000000000000000000000000010000000000001000100000011000010000010
483,10000000000000000000000000000000010000000000001000100000011000010010100
86,100000000000000000000000000000000100000000000000000000000000000000000000
726,100000000000000000000000000000000100000000000000000000000000000000000001
125,100000000000000000000000000000000100000000000010000000000000010000000000
679,100000000000000000000000000000000100000000000010000000000000010000000001
677,100000000000000000000000000000000100000000000010000000000000010000000010
684,100000000000000000000000000000000100000000000010000000000000010000000011
135,100000000000000000000000000000000100000000000010000000000000010001000000
